rank_this_week_sg_app,rank_last_week_sg_app,name,rounds_sg_app,average_sg_app,total_sg_app,measured_rounds_sg_app
1,1,Talor Gooch,27,1.201,25.215,21
2,2,Hideki Matsuyama,39,1.165,31.461,27
3,4,Jason Kokrak,48,1.037,38.379,37
4,5,Justin Thomas,39,1.022,28.616,28
5,6,Keegan Bradley,45,1.009,33.286,33
6,10,Matt Kuchar,47,0.995,33.814,34
7,27,Corey Conners,38,0.977,26.367,27
8,7,Sergio Garcia,25,0.97,19.4,20
9,9,Jim Furyk,35,0.865,21.629,25
10,8,Dustin Johnson,31,0.86,18.922,22
11,11,Emiliano Grillo,45,0.801,20.015,25
12,12,Rory McIlroy,32,0.753,17.322,23
T13,T15,Russell Knox,45,0.725,23.938,33
T13,T15,Xander Schauffele,37,0.725,15.221,21
15,17,Danny Willett,29,0.716,15.747,22
16,18,Tiger Woods,21,0.7,10.502,15
17,14,Chesson Hadley,44,0.698,20.925,30
18,20,Lucas Glover,44,0.685,26.695,39
19,22,Marc Leishman,38,0.661,16.525,25
20,23,Webb Simpson,33,0.658,19.075,29
21,34,Ryan Moore,40,0.646,18.737,29
22,25,Chez Reavie,49,0.645,16.769,26
23,28,Patrick Cantlay,31,0.62,13.024,21
24,51,Byeong Hun An,39,0.613,14.709,24
25,26,Scott Stallings,43,0.607,20.029,33
26,13,Davis Love III,27,0.603,10.854,18
27,30,Nate Lashley,28,0.587,9.986,17
28,32,Justin Rose,24,0.574,7.462,13
29,33,Gary Woodland,48,0.561,17.943,32
30,21,Roberto Castro,40,0.546,16.37,30
31,35,Robert Garrigus,20,0.516,6.711,13
32,31,Joaquin Niemann,48,0.512,17.422,34
33,24,Ryan Palmer,34,0.504,10.588,21
34,37,Zach Johnson,30,0.494,12.353,25
35,38,Cameron Smith,41,0.491,12.284,25
36,36,Sungjae Im,63,0.465,21.847,47
37,40,Tommy Fleetwood,27,0.445,8.008,18
38,41,Adam Schenk,60,0.436,18.323,42
39,42,Kevin Kisner,45,0.418,12.961,31
40,T43,Paul Casey,40,0.4,8.797,22
41,47,Adam Scott,27,0.383,6.134,16
42,39,Luke List,38,0.379,10.986,29
43,19,D.J. Trahan,25,0.376,4.883,13
44,48,Tom Hoge,50,0.374,11.97,32
45,49,Keith Mitchell,44,0.368,9.2,25
46,67,Josh Teater,33,0.366,6.949,19
47,52,Brooks Koepka,29,0.35,6.304,18
48,T45,Adam Svensson,43,0.346,10.738,31
49,54,Cameron Davis,44,0.342,9.928,29
50,53,Matthew Fitzpatrick,22,0.336,4.364,13
51,55,Michael Thompson,38,0.332,10.609,32
52,56,Tyrone Van Aswegen,20,0.32,2.884,9
53,59,Phil Mickelson,29,0.304,6.695,22
54,50,Chris Kirk,43,0.301,9.932,33
55,58,Adam Long,34,0.295,8.266,28
56,89,Sepp Straka,36,0.293,6.443,22
57,T93,Cameron Tringale,38,0.29,6.964,24
58,62,Tony Finau,41,0.282,7.601,27
59,132,Charley Hoffman,36,0.279,5.863,21
T60,81,Danny Lee,44,0.278,9.725,35
T60,68,Kyoung-Hoon Lee,49,0.278,7.513,27
62,65,Rickie Fowler,36,0.276,8.553,31
