rank_this_week_sg_arg,rank_last_week_sg_arg,name,rounds_sg_arg,average_sg_arg,total_sg_arg,measured_rounds_sg_arg
1,2,Byeong Hun An,39,0.766,18.391,24
2,1,Bud Cauley,41,0.71,23.443,33
3,3,Tom Lovelady,19,0.703,5.621,8
4,5,Louis Oosthuizen,29,0.626,10.008,16
5,6,Brandt Snedeker,50,0.602,19.274,32
6,7,Tiger Woods,21,0.564,8.454,15
7,4,Aaron Baddeley,41,0.555,15.53,28
8,8,Ian Poulter,31,0.528,10.552,20
9,9,Si Woo Kim,49,0.525,15.217,29
10,10,Justin Thomas,39,0.499,13.962,28
11,11,Tyrrell Hatton,30,0.49,8.819,18
T12,T12,Bill Haas,37,0.47,13.643,29
T12,T12,Webb Simpson,33,0.47,13.618,29
14,15,Kevin Na,36,0.441,8.374,19
15,16,Matt Wallace,23,0.439,7.021,16
16,17,Tommy Fleetwood,27,0.404,7.267,18
17,43,Hank Lebioda,41,0.394,11.427,29
18,19,Charles Howell III,49,0.388,12.403,32
19,20,Cameron Smith,41,0.385,9.635,25
20,35,Lucas Glover,44,0.379,14.777,39
21,21,Hideki Matsuyama,39,0.374,10.096,27
22,18,Brian Harman,43,0.37,9.977,27
23,22,Troy Merritt,24,0.36,6.846,19
24,24,Rory McIlroy,32,0.354,8.14,23
25,14,Stephan Jaeger,45,0.352,10.908,31
26,26,Sebastián Muñoz,44,0.346,9.678,28
T27,T27,Paul Casey,40,0.345,7.595,22
T27,T27,Zach Johnson,30,0.345,8.614,25
T29,29,Dustin Johnson,31,0.338,7.428,22
T29,23,Kevin Tway,38,0.338,9.814,29
31,31,Stewart Cink,29,0.322,6.123,19
32,T47,Andrew Putnam,41,0.302,6.64,22
T33,T33,Patrick Cantlay,31,0.297,6.236,21
T33,45,Jimmy Walker,39,0.297,8.317,28
35,74,Ernie Els,34,0.293,5.575,19
36,T33,Jhonattan Vegas,46,0.289,10.124,35
37,30,Chris Kirk,43,0.283,9.35,33
38,36,Jason Dufner,36,0.279,5.861,21
T39,T47,Jim Furyk,35,0.273,6.832,25
T39,52,Adam Svensson,43,0.273,8.452,31
41,39,Wes Roach,32,0.266,4.787,18
T42,54,Jonathan Byrd,29,0.252,4.036,16
T42,86,J.B. Holmes,39,0.252,5.286,21
T42,32,Brian Stuard,56,0.252,9.842,39
T42,42,Gary Woodland,48,0.252,8.071,32
46,46,Roberto Castro,40,0.242,7.268,30
47,67,Mackenzie Hughes,38,0.24,6.729,28
48,T47,Matt Every,20,0.233,2.567,11
49,44,Wyndham Clark,47,0.23,8.056,35
50,50,Justin Rose,24,0.225,2.921,13
51,51,Patrick Reed,37,0.223,6.018,27
52,37,Sungjae Im,63,0.218,10.223,47
53,T95,D.J. Trahan,25,0.212,2.754,13
54,41,Rod Pampling,26,0.208,3.118,15
55,55,Matt Jones,49,0.199,6.164,31
56,53,Russell Knox,45,0.195,6.431,33
57,78,Kyle Jones,41,0.177,5.126,29
58,58,Francesco Molinari,27,0.176,2.81,16
59,59,Alex Noren,25,0.173,2.242,13
T60,40,Matt Kuchar,47,0.167,5.672,34
T60,71,Peter Malnati,39,0.167,5.344,32
62,60,Matthew Fitzpatrick,22,0.165,2.139,13
T63,T56,Brian Gay,56,0.162,6.313,39
T63,66,Kramer Hickok,47,0.162,4.702,29
65,62,James Hahn,34,0.159,2.709,17
T66,999,Haotong Li,20,0.156,1.868,12
T66,76,Ollie Schniederjans,48,0.156,5.309,34
T68,65,Phil Mickelson,29,0.153,3.367,22
T68,87,Rory Sabbatini,47,0.153,5.215,34
70,T68,Scott Langley,46,0.149,5.348,36
71,63,Ryan Armour,50,0.14,4.61,33
72,72,Martin Trainer,42,0.132,4.107,31
73,73,Xander Schauffele,37,0.131,2.751,21
74,61,Ryan Moore,40,0.125,3.634,29
75,T68,Robert Streb,46,0.121,4.13,34
76,92,Chris Stroud,38,0.118,3.302,28
77,77,Michael Kim,37,0.113,2.821,25
78,64,Harris English,54,0.108,4.541,42
79,T89,Graeme McDowell,41,0.105,2.512,24
T80,38,Seamus Power,39,0.099,2.876,29
