rank_this_week_sg_ott,rank_last_week_sg_ott,name,rounds_sg_ott,average_sg_ott,total_sg_ott,measured_rounds_sg_ott
1,1,Rory McIlroy,32,1.308,30.093,23
2,2,Jon Rahm,39,1,29.001,29
3,3,Bubba Watson,33,0.949,28.47,30
4,4,Tommy Fleetwood,27,0.922,16.593,18
5,6,Jason Day,29,0.758,11.369,15
6,7,Gary Woodland,48,0.755,24.169,32
7,5,Luke List,38,0.74,21.466,29
8,8,Bryson DeChambeau,31,0.707,19.788,28
9,10,Jhonattan Vegas,46,0.679,23.751,35
10,9,Keith Mitchell,44,0.672,16.79,25
11,T11,Byeong Hun An,39,0.645,15.475,24
T12,T11,Paul Casey,40,0.624,13.728,22
T12,19,Corey Conners,38,0.624,16.861,27
14,14,Dustin Johnson,31,0.602,13.234,22
15,23,Abraham Ancer,49,0.595,18.451,31
16,15,Tom Lovelady,19,0.589,4.709,8
17,16,Daniel Berger,24,0.585,9.942,17
18,18,D.J. Trahan,25,0.577,7.498,13
19,17,Cameron Champ,42,0.568,19.322,34
20,21,Jason Kokrak,48,0.532,19.692,37
21,20,Adam Hadwin,42,0.53,13.781,26
22,25,Patrick Cantlay,31,0.503,10.555,21
23,24,Kevin Streelman,45,0.496,18.358,37
24,22,Sungjae Im,63,0.494,23.241,47
T25,26,Rafa Cabrera Bello,37,0.492,9.844,20
T25,27,Matt Jones,49,0.492,15.259,31
27,28,Xander Schauffele,37,0.487,10.234,21
28,13,Tony Finau,41,0.477,12.877,27
29,29,Hideki Matsuyama,39,0.467,12.596,27
30,31,Emiliano Grillo,45,0.462,11.539,25
31,32,Aaron Wise,32,0.445,9.788,22
32,33,Matthew Fitzpatrick,22,0.438,5.69,13
33,35,Brendan Steele,38,0.436,11.773,27
34,T45,Harold Varner III,46,0.431,16.374,38
35,34,Charles Howell III,49,0.427,13.648,32
36,43,Hunter Mahan,45,0.421,13.88,33
37,38,Justin Thomas,39,0.415,11.626,28
38,39,Kevin Kisner,45,0.396,12.267,31
39,30,Dylan Frittelli,39,0.394,11.813,30
40,42,Trey Mullinax,47,0.393,14.525,37
41,49,Seth Reeves,42,0.369,10.339,28
T42,40,Kramer Hickok,47,0.361,10.459,29
T42,44,Adam Scott,27,0.361,5.775,16
44,55,Andrew Landry,40,0.354,12.379,35
45,36,Alex Prugh,41,0.346,9.348,27
46,41,Brian Harman,43,0.342,9.238,27
47,47,Sergio Garcia,25,0.328,6.56,20
48,48,Ian Poulter,31,0.325,6.504,20
49,37,Russell Henley,42,0.323,10.664,33
50,57,Carlos Ortiz,46,0.315,11.352,36
51,50,Branden Grace,38,0.313,5.938,19
52,51,Scott Piercy,48,0.309,9.887,32
53,T45,Lucas Glover,44,0.305,11.911,39
54,78,Charley Hoffman,36,0.301,6.327,21
55,80,Scott Brown,48,0.257,8.745,34
56,63,Matt Kuchar,47,0.256,8.703,34
T57,60,Wyndham Clark,47,0.255,8.927,35
T57,75,Rory Sabbatini,47,0.255,8.668,34
59,70,Sam Burns,47,0.253,9.363,37
60,61,Justin Rose,24,0.248,3.23,13
61,62,Brooks Koepka,29,0.246,4.43,18
62,64,Kiradech Aphibarnrat,31,0.238,4.516,19
63,53,Joaquin Niemann,48,0.236,8.01,34
64,83,Rickie Fowler,36,0.234,7.244,31
T65,73,Hank Lebioda,41,0.232,6.731,29
T65,65,Louis Oosthuizen,29,0.232,3.715,16
67,52,Chase Wright,42,0.223,6.7,30
68,56,Fabián Gómez,36,0.222,4.875,22
69,66,Phil Mickelson,29,0.22,4.83,22
70,58,Joel Dahmen,56,0.219,8.318,38
71,59,Denny McCarthy,45,0.218,7.18,33
72,67,Tiger Woods,21,0.216,3.237,15
73,68,Keegan Bradley,45,0.211,6.967,33
74,T97,Max Homa,43,0.209,6.673,32
75,69,Matt Wallace,23,0.206,3.3,16
76,T87,Ryan Moore,40,0.201,5.839,29
77,T71,Matt Every,20,0.196,2.159,11
78,95,Kyoung-Hoon Lee,49,0.183,4.946,27
79,76,Michael Thompson,38,0.18,5.763,32
80,77,Jim Herman,29,0.172,3.273,19
81,74,Ben Silverman,38,0.166,4.312,26
82,54,Martin Trainer,42,0.157,4.863,31
83,T90,Sebastián Muñoz,44,0.149,4.164,28
T84,T71,Lucas Bjerregaard,25,0.134,1.879,14
T84,84,Brice Garnett,47,0.134,3.606,27
86,85,Marc Leishman,38,0.133,3.314,25
