rank_this_week_top10,rank_last_week_top10,name,events_top10,top_10,first,second,third
1,1,Rory McIlroy,8,7,1,1,
T2,T2,Jon Rahm,10,6,,,
T2,T2,Gary Woodland,13,6,,2,
T4,T4,Sungjae Im,18,5,,,1
T4,T4,Dustin Johnson,8,5,1,,
T4,T8,Matt Kuchar,11,5,2,1,
T4,T4,Marc Leishman,10,5,1,,1
T4,T4,Justin Thomas,10,5,,1,2
T9,T8,Patrick Cantlay,9,4,,1,
T9,T8,Paul Casey,11,4,1,1,1
T9,T8,Jason Day,9,4,,,
T9,T8,Lucas Glover,12,4,,,
T9,T8,Charles Howell III,13,4,1,,
T9,T16,Si Woo Kim,14,4,,,1
T9,T16,Jason Kokrak,12,4,,1,
T9,T8,Scott Piercy,13,4,,,
T9,T8,Justin Rose,6,4,1,,1
T18,T16,Aaron Baddeley,12,3,,1,
T18,T36,Scott Brown,15,3,,,
T18,T16,Cameron Champ,13,3,1,,
T18,T36,Corey Conners,13,3,1,1,1
T18,T16,Bryson DeChambeau,8,3,1,,
T18,T16,Tommy Fleetwood,7,3,,,1
T18,T16,Rickie Fowler,9,3,1,1,
T18,T16,Jim Furyk,10,3,,1,
T18,T16,Sergio Garcia,6,3,,,
T18,T16,Adam Hadwin,12,3,,1,
T18,T36,Danny Lee,13,3,,1,
T18,T16,Luke List,12,3,,,
T18,T16,Hideki Matsuyama,10,3,,,1
T18,T16,Louis Oosthuizen,8,3,,1,
T18,T16,Ryan Palmer,10,3,,,1
T18,T16,Chez Reavie,14,3,,,1
T18,T16,Xander Schauffele,10,3,2,,
T18,T16,Adam Scott,8,3,,1,
T18,T16,Cameron Smith,11,3,,,
T18,T16,Chris Stroud,13,3,,1,
T18,T16,Michael Thompson,11,3,,,
T39,T74,Byeong Hun An,10,2,,,
T39,T36,Abraham Ancer,14,2,,,
T39,T36,Kiradech Aphibarnrat,10,2,,,1
T39,T36,Keegan Bradley,12,2,,,
T39,T36,Rafa Cabrera Bello,10,2,,,2
T39,T36,Wyndham Clark,14,2,,,
T39,T36,Talor Gooch,9,2,,,1
T39,T36,Branden Grace,11,2,,1,
T39,T36,Chesson Hadley,14,2,,1,
T39,T36,J.B. Holmes,12,2,1,,
T39,T36,Sung Kang,15,2,,,
T39,T36,Kevin Kisner,11,2,1,,
T39,T36,Brooks Koepka,8,2,1,1,
T39,T36,Kelly Kraft,15,2,,,
T39,T36,Adam Long,13,2,1,,
T39,T36,Denny McCarthy,14,2,,,
T39,T74,Graeme McDowell,11,2,1,,
T39,T36,Phil Mickelson,9,2,1,1,
T39,T36,Keith Mitchell,13,2,1,,
T39,T36,Francesco Molinari,6,2,1,,1
T39,T74,Ryan Moore,12,2,,1,1
T39,T36,Carlos Ortiz,15,2,,,1
T39,T36,Pat Perez,10,2,,,
