"First","Last","Full.Name","n_weekends","n_tries","percent","group"
"Adam","Scott","Adam Scott",14,16,87.5,3
"Angel","Cabrera","Angel Cabrera",13,18,72.2,4
"Bernhard","Langer","Bernhard Langer",11,20,55,4
"Billy","Horschel","Billy Horschel",2,3,66.7,3
"Branden","Grace","Branden Grace",2,5,40,3
"Brandt","Snedeker","Brandt Snedeker",8,10,80,3
"Brooks","Koepka","Brooks Koepka",3,3,100,1
"Bryson","DeChambeau","Bryson DeChambeau",1,1,100,1
"Bubba","Watson","Bubba Watson",8,9,88.9,2
"Cameron","Smith","Cameron Smith",1,1,100,3
"Charl","Schwartzel","Charl Schwartzel",6,8,75,4
"Charles","Howell","Charles Howell III",5,8,62.5,3
"Charley","Hoffman","Charley Hoffman",4,4,100,4
"Danny","Willett","Danny Willett",2,3,66.7,4
"Dustin","Johnson","Dustin Johnson",6,7,85.7,1
"Emiliano","Grillo","Emiliano Grillo",2,2,100,4
"Francesco","Molinari","Francesco Molinari",4,6,66.7,1
"Fred","Couples","Fred Couples",17,20,85,4
"Gary","Woodland","Gary Woodland",2.5,5,50,2
"Henrik","Stenson","Henrik Stenson",8,12,66.7,3
"Hideki","Matsuyama","Hideki Matsuyama",5,6,83.3,3
"Ian","Poulter","Ian Poulter",11,12,91.7,3
"Ian","Woosnam","Ian Woosnam",5,20,25,4
"J.B.","Holmes","J.B. Holmes",3,4,75,3
"Jason","Day","Jason Day",6,6.5,92.3,2
"Jimmy","Walker","Jimmy Walker",4,4,100,4
"Jon","Rahm","Jon Rahm",1,1,100,1
"Jordan","Spieth","Jordan Spieth",4,4,100,3
"Jose","Maria","Jose Maria Olazabal",11,19,57.9,4
"Justin","Rose","Justin Rose",12,12,100,1
"Justin","Thomas","Justin Thomas",2,2,100,1
"Keegan","Bradley","Keegan Bradley",4,5,80,3
"Kevin","Kisner","Kevin Kisner",2,2,100,2
"Kevin","Na","Kevin Na",4,7,57.1,4
"Kiradech","Aphibarnrat","Kiradech Aphibarnrat",1,1,100,3
"Larry","Mize","Larry Mize",8,21,38.1,4
"Louis","Oosthuizen","Louis Oosthuizen",5,9,55.6,2
"Marc","Leishman","Marc Leishman",2,5,40,2
"Martin","Kaymer","Martin Kaymer",5,10,50,4
"Matt","Kuchar","Matt Kuchar",10,11,90.9,2
"Matthew","Fitzpatrick","Matthew Fitzpatrick",2,3,66.7,3
"Mike","Weir","Mike Weir",11,18,61.1,4
"Patrick","Cantlay","Patrick Cantlay",1,1,100,2
"Patrick","Reed","Patrick Reed",2,4,50,2
"Paul","Casey","Paul Casey",8,11,72.7,2
"Phil","Mickelson","Phil Mickelson",18,21,85.7,2
"Rickie","Fowler","Rickie Fowler",6,7,85.7,1
"Rory","McIlroy","Rory McIlroy",8,9,88.9,1
"Sandy","Lyle","Sandy Lyle",8,21,38.1,4
"Sergio","Garcia","Sergio Garcia",14,19,73.7,3
"Shane","Lowry","Shane Lowry",1,3,33.3,3
"Stewart","Cink","Stewart Cink",12,17,70.6,4
"Thorbjorn","Olesen","Thorbjorn Olesen",2,2,100,4
"Tiger","Woods","Tiger Woods",18,18,100,2
"Trevor","Immelman","Trevor Immelman",9,15,60,4
"Vijay","Singh","Vijay Singh",16,21,76.2,4
"Webb","Simpson","Webb Simpson",3,6,50,2
"Zach","Johnson","Zach Johnson",7,13,53.8,4
